test_score,family_income,enrolled,graduated_college,round_test_score
-16.69477,250447.4,0,0,-17
-9.751514,13484.93,1,1,-10
-4.101166,139646.7,0,1,-5
-16.10334,438940.3,1,1,-17
-18.16811,165934.2,1,1,-19
-37.14376,217065.2,0,0,-38
-4.605705,516042.9,0,0,-5
-10.41486,-463209.4,0,1,-11
4.30706,441716.3,1,0,4
-28.9099,16025.75,0,0,-29
-8.626411,76982.01,1,0,-9
9.131859,430552.4,1,1,9
-10.77671,139605.4,1,1,-11
-33.68224,-217075.5,0,0,-34
-2.356262,378902.1,0,1,-3
-28.62689,-164435.8,0,1,-29
-4.497643,271815.2,0,1,-5
2.511322,419348.6,1,1,2
12.9659,12270.18,1,0,12
-1.607597,449870.5,0,1,-2
2.077446,667416.4,1,1,2
-22.10238,461438.7,0,0,-23
-17.82593,63340.67,1,1,-18
-2.745483,19235.27,1,1,-3
6.731941,-491724.2,1,1,6
-9.747387,247174.5,1,0,-10
-20.06768,698243.5,0,1,-21
11.89301,131820,1,0,11
-1.833313,-231132.3,0,0,-2
29.66071,961514.8,1,1,29
-15.78054,-126737,0,0,-16
-12.42788,712602.1,0,0,-13
-34.82259,105447.7,0,0,-35
2.771065,141262.2,1,1,2
-28.15506,122385.7,0,1,-29
-13.4736,503847.1,1,1,-14
29.08244,178293.2,1,0,29
8.078934,194601.8,1,1,8
6.984024,389812.2,1,1,6
5.568161,-323722.2,1,1,5
-29.2819,71049.12,0,0,-30
-21.58104,256126.9,0,0,-22
-10.64951,346025.4,0,1,-11
-12.2255,196449.5,0,1,-13
-14.47163,29913.11,1,1,-15
1.716614,634330.4,1,0,1
-18.04683,405359,0,1,-19
-4.678909,363654,0,0,-5
2.847023,-358015.4,1,1,2
-3.205406,92853.28,1,1,-4
21.92914,240393.8,1,0,21
-6.096931,209251.9,0,1,-7
-1.974083,533716.9,1,0,-2
25.0524,917181,0,0,25
-.6330566,323097.3,0,0,-1
-16.8965,438983.4,0,1,-17
-24.14716,46130.86,1,1,-25
-3.411934,402062.3,1,1,-4
-23.50278,-820778.8,1,1,-24
-22.48695,150851.1,1,1,-23
-20.13014,16041.52,0,0,-21
-23.78302,-234713.3,1,0,-24
-10.60865,160463.5,1,0,-11
.8251114,-271084.7,1,1,0
-28.34761,504659.3,0,1,-29
-34.38681,-367872.2,0,0,-35
14.43584,256218.9,1,1,14
2.480682,21117.71,1,1,2
-2.608574,-64094.14,0,0,-3
-18.99046,610482.7,0,1,-19
2.500595,80090.52,1,0,2
-12.05119,-74242.83,0,1,-13
-8.47541,557131.2,1,1,-9
-8.459114,306563.9,0,1,-9
-4.121971,293381.6,0,1,-5
-11.7877,461404.7,0,0,-12
23.8942,521746,0,1,23
-12.81637,650697.6,1,1,-13
4.563141,142349.2,0,0,4
4.24118,809799.5,1,0,4
5.47773,143271.6,1,1,5
-9.406788,278386.5,1,1,-10
-19.28623,164772.8,0,1,-20
21.03465,-111355.9,1,0,21
19.15029,-263504.2,1,1,19
23.45766,906220.7,1,0,23
5.938705,105226.7,1,0,5
-7.617973,-391439.9,0,1,-8
-27.48386,344786.1,0,1,-28
1.980347,221313.4,1,1,1
1.618561,261101.9,1,0,1
-20.77099,156030.6,0,1,-21
-4.647095,-74703.89,1,1,-5
16.13515,152033,1,1,16
-26.58346,192602.7,0,1,-27
.7772217,-260275.6,1,0,0
28.92594,570156.8,1,1,28
-21.27328,222953.6,1,0,-22
7.619987,174853.9,1,1,7
.7452698,615365.9,1,1,0
-16.03545,326687.9,1,0,-17
2.239143,-18969.96,0,1,2
8.743378,297653.3,1,1,8
3.983055,364711.5,1,0,3
.7722092,-32849.28,1,0,0
-17.36117,-718462.8,1,1,-18
-26.23064,-190095,0,1,-27
-16.52009,22924.29,0,1,-17
.1512375,-68442.74,1,1,0
-21.90099,308662.7,1,1,-22
9.198212,-96735.66,1,1,9
-2.98912,547525.9,0,1,-3
-6.745049,-12224.47,1,1,-7
-37.93767,-440924,0,1,-38
17.08346,144865.2,1,1,17
19.76154,71544.91,1,1,19
3.777313,47225.86,1,1,3
-15.6134,8876.81,0,0,-16
-7.727814,235511.3,0,1,-8
-12.45057,488333.4,0,0,-13
1.120712,451807.7,1,1,1
-10.76044,82855.01,0,0,-11
1.891975,266313.8,1,0,1
-1.412651,4219.108,1,1,-2
-9.295975,-73608.34,1,1,-10
2.44902,-219032.3,1,1,2
39.45013,469414,1,1,39
-6.726135,-89103,1,0,-7
.9143066,512132.5,1,1,0
-15.79456,402986.7,0,0,-16
-10.53081,507474.7,0,0,-11
-37.1839,33013.31,0,1,-38
17.24187,909222.4,1,1,17
-9.285114,115741.2,1,1,-10
-12.7793,326439.7,0,1,-13
-7.754387,418037.6,0,0,-8
-12.69803,74214.27,0,1,-13
-14.43719,566339.8,0,0,-15
-.1964417,-33705.26,1,1,-1
.1718826,18978.68,1,0,0
-25.96605,361551.4,0,1,-26
9.250069,692487.4,1,1,9
-21.27662,262007.2,0,1,-22
-27.00695,-571674.9,0,0,-28
-.8161011,-15098.66,0,1,-1
3.463554,867692.6,1,0,3
23.34418,323823.4,1,1,23
5.406616,65644.72,1,1,5
-16.96967,-20149.08,0,0,-17
-4.731651,197113.9,1,0,-5
9.153481,-149379,1,0,9
-36.00693,370564.8,1,1,-37
-36.28425,159321.1,0,0,-37
-10.32314,744985.3,0,0,-11
-4.066628,438467.7,0,0,-5
15.98595,85935.98,1,0,15
4.188889,101971.5,0,1,4
-20.59735,-277362.4,0,1,-21
-23.42189,712013.5,0,0,-24
1.668983,558119.7,1,1,1
-16.48666,580353.2,0,0,-17
25.11487,-358804.9,1,1,25
-39.25877,-109066,0,0,-40
14.36694,254658.3,1,0,14
