age,gender,split,final,hours,minutes,seconds,total_minutes
33,"M","01:05:38","02:08:51",2,8,51,128.85
32,"M","01:06:26","02:09:28",2,9,28,129.4667
31,"M","01:06:49","02:10:42",2,10,42,130.7
38,"M","01:06:16","02:13:45",2,13,45,133.75
31,"M","01:06:32","02:13:59",2,13,59,133.9833
31,"M","01:06:13","02:14:11",2,14,11,134.1833
27,"M","01:06:40","02:14:28",2,14,28,134.4667
31,"M","01:06:31","02:15:16",2,15,16,135.2667
30,"M","01:05:39","02:15:57",2,15,57,135.95
30,"M","01:05:40","02:16:39",2,16,39,136.65
26,"M","01:08:10","02:18:18",2,18,18,138.3
29,"M","01:05:54","02:18:52",2,18,52,138.8667
28,"M","01:08:59","02:19:36",2,19,36,139.6
24,"M","01:09:16","02:19:45",2,19,45,139.75
37,"M","01:05:21","02:19:47",2,19,47,139.7833
25,"M","01:09:52","02:20:17",2,20,17,140.2833
22,"M","01:09:53","02:20:57",2,20,57,140.95
30,"M","01:05:40","02:21:17",2,21,17,141.2833
26,"M","01:10:11","02:21:24",2,21,24,141.4
36,"M","01:10:35","02:21:55",2,21,55,141.9167
28,"M","01:11:59","02:22:14",2,22,14,142.2333
31,"M","01:05:54","02:22:20",2,22,20,142.3333
41,"M","01:09:14","02:22:27",2,22,27,142.45
24,"M","01:11:18","02:22:55",2,22,55,142.9167
26,"M","01:10:17","02:22:56",2,22,56,142.9333
36,"M","01:06:39","02:23:31",2,23,31,143.5167
28,"M","01:10:32","02:23:39",2,23,39,143.65
29,"M","01:12:25","02:23:48",2,23,48,143.8
34,"W","01:12:35","02:24:13",2,24,13,144.2167
31,"M","01:14:07","02:25:19",2,25,19,145.3167
39,"W","01:13:13","02:25:37",2,25,37,145.6167
29,"M","01:09:59","02:25:38",2,25,38,145.6333
29,"W","01:13:09","02:25:50",2,25,50,145.8333
31,"M","01:13:24","02:25:56",2,25,56,145.9333
30,"M","01:11:51","02:26:15",2,26,15,146.25
30,"M","01:08:34","02:26:36",2,26,36,146.6
