month,year,id,earnings,hours,educd,age,occupation,uniond,state_fips,female,white,switcher,industry
7,1983,300,1041.977,10,2,51,313,0,48,1,1,0,"Wholesale"
2,1986,562,6247.097,40,1,34,889,0,6,0,1,1,"Wholesale"
1,1985,562,6603.019,40,1,33,889,0,6,0,1,1,"Wholesale"
2,1985,562,8253.773,40,1,33,889,0,6,0,1,1,"Wholesale"
1,1986,562,6247.097,40,1,34,889,0,6,0,1,1,"Wholesale"
6,1984,562,7808.336,40,1,32,799,0,6,0,1,1,"Wholesale"
7,1985,562,8112.974,40,1,34,799,0,6,0,1,1,"Wholesale"
11,1983,562,8494.378,40,1,32,889,0,6,0,1,1,"Wholesale"
10,1985,562,6491.35,40,1,34,799,0,6,0,1,1,"Wholesale"
8,1985,562,6491.35,40,1,34,799,0,6,0,1,1,"Wholesale"
5,1985,562,6491.35,40,1,33,889,0,6,0,1,1,"Wholesale"
4,1984,562,9760.42,40,1,32,799,0,6,0,1,1,"Wholesale"
10,1984,562,7745.869,40,1,33,799,0,6,0,1,1,"Wholesale"
7,1983,562,7644.94,40,1,32,889,0,6,0,1,1,"Wholesale"
7,1984,562,7745.869,40,1,33,799,0,6,0,1,1,"Wholesale"
2,1984,562,7808.336,40,1,32,889,0,6,0,1,1,"Wholesale"
1,1984,562,6246.668,40,1,32,889,0,6,0,1,1,"Wholesale"
3,1984,562,7808.336,40,1,32,799,0,6,0,1,1,"Wholesale"
9,1985,562,8112.974,40,1,34,799,0,6,0,1,1,"Wholesale"
8,1983,562,7644.94,40,1,32,889,0,6,0,1,1,"Wholesale"
6,1986,562,6247.097,40,1,34,799,0,6,0,1,1,"Manufacturing (durable)"
5,1984,562,7808.336,40,1,32,799,0,6,0,1,1,"Wholesale"
9,1984,562,9812.476,40,1,33,799,0,6,0,1,1,"Wholesale"
12,1984,562,8849.447,40,1,33,889,0,6,0,1,1,"Wholesale"
4,1985,562,8112.974,40,1,33,889,0,6,0,1,1,"Wholesale"
12,1985,562,8059.567,40,1,34,889,0,6,0,1,1,"Wholesale"
9,1983,562,9553.345,40,1,32,889,0,6,0,1,1,"Wholesale"
5,1986,562,7808.872,40,1,34,799,0,6,0,1,1,"Manufacturing (durable)"
12,1983,562,6795.503,40,1,32,889,0,6,0,1,1,"Wholesale"
3,1986,562,6247.097,40,1,34,799,0,6,0,1,1,"Manufacturing (durable)"
10,1983,562,7644.94,40,1,32,889,0,6,0,1,1,"Wholesale"
11,1985,562,4864.871,40,1,34,889,0,6,0,1,1,"Wholesale"
8,1984,562,7745.869,40,1,33,799,0,6,0,1,1,"Wholesale"
3,1985,562,6491.35,40,1,33,889,0,6,0,1,1,"Wholesale"
11,1984,562,7079.558,40,1,33,889,0,6,0,1,1,"Wholesale"
