year,cpiu,cpi
1913,.0573939,.0657818
1914,.0581719,.0666735
1915,.0587033,.0672825
1916,.0632075,.072445
1917,.0744967,.0853841
1918,.0873803,.1001506
1919,.1006999,.1154167
1920,.1163861,.1333954
1921,.1036416,.1187883
1922,.0972634,.111478
1923,.0990182,.1134893
1924,.0994458,.1139794
1925,.1018772,.1167661
1926,.1027745,.1177945
1927,.1007969,.115528
1928,.0996394,.1142012
1929,.0996419,.1142041
1930,.0969627,.1111334
1931,.0882999,.1012046
1932,.0792101,.0907863
1933,.0751156,.0860934
1934,.0777168,.0890748
1935,.0797008,.0913487
1936,.0805254,.0922939
1937,.0835334,.0957415
1938,.0818295,.0937885
1939,.0807651,.0925686
1940,.0813457,.093234
1941,.0855285,.0980281
1942,.0948674,.1087319
1943,.1005217,.1152125
1944,.1021589,.117089
1945,.1044848,.1197548
1946,.1133894,.1299607
1947,.1296697,.1486203
1948,.1396205,.1600254
1949,.1382513,.1584561
1950,.1397786,.1602067
1951,.1507467,.1727777
1952,.1541824,.1767155
1953,.1554448,.1781624
1954,.1559174,.178704
1955,.1554846,.178208
1956,.1578618,.1809326
1957,.1631419,.1869844
1958,.1675887,.192081
1959,.169283,.194023
1960,.1717446,.1968444
1961,.173585,.1989537
1962,.175666,.2013388
1963,.1778488,.2038406
1964,.1801156,.2064387
1965,.1829796,.2097213
1966,.1885002,.2160487
1967,.1937281,.2220407
1968,.2019982,.2306042
1969,.2130504,.2410028
1970,.2254837,.2526248
1971,.2351568,.2636351
1972,.2428392,.2715869
1973,.257882,.2887141
1974,.2864048,.3174631
1975,.3125586,.3437654
1976,.3304885,.3633392
1977,.3520001,.3865832
1978,.3788889,.4128855
1979,.4215601,.4522622
1980,.4786005,.5026562
1981,.5281004,.5503345
1982,.5604383,.583533
1983,.5784336,.608469
1984,.6032735,.6336071
1985,.6246908,.6553846
1986,.6365069,.6670054
1987,.6598845,.6897585
1988,.6867643,.71491
1989,.7199528,.7458585
1990,.7588184,.7828356
1991,.7909096,.8111256
1992,.8148469,.8315776
1993,.8389121,.8522193
1994,.860791,.8701516
1995,.8849354,.8911734
1996,.9108593,.9150488
1997,.9321472,.9347774
1998,.9466265,.9476722
1999,.9673647,.9678047
